Progress,Speaker,Text,,,The text from the % cell in dialog (for reference only)
1,Dexter: ,I control my movement through W|A|S|D|as well as having the ability to float utilizing LCTRL and Space. ,,Dexter - 2,You can move around using W|A|S|D. As an Inspector| remember to refer to your journal using &J& to aid you in your investigation. Should you become lost| refer to your map using ESC.%%
2,Dexter: ,Incorporeal| Spirit Orb| and Astral Projection| the three techniques every Ghost should know if they want to defend themselves. It's important to know when to use certain abilities in combat. Incorporeal makes me invisible| Spirit Orb launches my destructive companion here| and Astral Projection is how I attack. Dexter says Mayor Samuel is looking for me| he is located at TOWNHALL.,,Dexter - 2,When in combat| you will have three buttons to utilize| these are your &moves&.  You utilize &Incorporeal& to evade incoming attacks|  &Spirit Orb& to send out your spiritual familiar to destroy incoming attacks| and &Astral Projection& to launch an attack at your enemy. On that note| Mayor Samuel is awaiting your arrival at the town hall.%
3,,Samuel| a friend of mine I've made in death. He seems like a reliable guy| means well by his denizens.  I don't mind helping him.,,Samuel - 3,Inspector! My friend! I am glad to see you; recently |the residents of Blightingham have been disappearing.%%
4,Samuel: ,Ghost are going missing| huh? Even in death| there seems to be a way for crime to be committed. ,,Samuel - 3,As the mayor| I cannot stand idly by while my citizens are going missing -- without a trace.%%
5,Samuel: ,He considers me the greatest Inspector to have ever lived| I suppose that's one way to make a name for yourself. Every investigation begins with the locals; lets see what I can find. I'll start with the cowboy| Jimboy Calloway. He lives to the West of TOWNHALL.,,Samuel - 3,As one of the greatest Inspectors to ever live| I trust that you will do what you do best and get to the bottom of this mystery. I recommend you start with the local citizens to see if you can find out what's happening.%
6,Jimboy Calloway: ,The greatest gun in the West| huh? Everyone has to make a living in their own way. ,,Jimboy Calloway - 1,Howdy| Inspector! Yer talkin' to the greatest gun in the West! Well| the former title-holder! What can I do for ya?%%
7,Jimboy Calloway : ,What a strange connection| a cowboy knowing a journalist named CHAI-AN| who frequents a BAR? ,,Jimboy Calloway - 1,I haven't seen any suspicious looking fellas| but if I were you| I'd go check in on the beautiful Chai-An! She'd have a knack for this kinda business. Check the bar.%
8,Chai-An: ,Certainly a quirky Ghost| but she seems to be knowledgable regarding potential scoops. It'd be foolish not to use her information.,,Chai-An - 4,Yo| Inspector! Can you lend me an interview with your buddy? You two met this morning!%%
9,Chai-An: ,Besides negotiating for an interview with the Mayor| she mentioned discovering a BLOODY SCARF and the name Lucian Corneilius.,,Chai-An - 4,Did you talk with your mayor friend yet?%%
10,Chai-An: ,For a journalist to be scared of an item on a crime-scene| I wonder what are the implications of it's existence.,,Chai-An - 4,Jimboy sent you to me? About a potential scoop? Disappearing ghosts? I was interested in it| but didn't go any further with it.%%
11,Chai-An: ,A Barkeep named Bastion. That's peculiar| but I suppose it doesn't make too much of a difference. I'll listen to what he has to say. He is at the BAR.,,Chai-An - 4,The reason being is the disturbing items that were found at the scene. That bloody scarf| being one of them.%%
12,Chai-An: ,A red scarf| a fella by the name Lucian Corneilius| and a scared journalist. I wonder what's the correlation here. I should speak with BASTION at the BAR.,,Chai-An - 4,In exchange for what I know| you'll land me an interview with Mayor Samuel. Deal? Deal. In my initial research| the name &Lucian Corneilius& continued to pop up. He certainly sounds like an erratic being| maybe Bastion would know.%
13,Bastion: ,The name &Lucian Corneilius& has appeared again. It can't be by fate| and I believe I may have found a new lead. He likes to frequent the PLAZA.,,Bastion - 5,Chai-An decided to recommend you to me| then| huh?%%
14,,,,Bastion - 5,A drink for your troubles? I suppose going to a bar wouldn't me much different in death. It is the place of information| after all.%%
15,,,,Bastion - 5,Lucian Corneilius. I can't say I know much about him| but I know he likes to hang out in the plaza. If he's connected to the crime like you say he is; then your best bet would be there.%
16,Key Item: ,I've found a bloody scarf| I didn't think it was possible for Ghosts to bleed. I can link this to Lucian Corneilius| I should confront him in the PLAZA.,,Bloody Scarf - 6,You've found a bloody scarf.%
17,,,,Lucian Corneilius-7,You've finally caught on| Inspector. I'm not surprised; after all| you were one of the greatest Inspectors to exist!%%
18,,,,Lucian Corneilius-7,Even if you were to strike me down| there are two others in our rank! We will have the final laugh.%%
19,Lucian Corneilius: ,I've encountered and defeated Lucian Corneilius. I should report my findings back to Samuel.,,Lucian Corneilius-7,After you caused my death| I couldn't simply rest peacefully. We decided to target you. You can'not defeat me| even with a spiritual guardian on your side! Prepare to fight!%%%
20,,,,Samuel - 3,With the defeat of Lucian Corneilius| we're one stop closer to defeating this group of villains.%%
21,,,,Samuel - 3,You said that he mentioned he was receiving assistance; correct? It would explain why those strange looking eyes appeared suddenly. It has everyone on edge| the city is under siege.%%
22,Samuel: ,The mayor thinks that there's more to this given the attack of the mysterious eye. I wonder what it is| it appears to be driven by technology. I should ask around.,,Samuel - 3,Do your best to avoid getting detected by that monstrosity| Inspector! We don't know what it'll do to you.%
23,,,,Lucy Jones-8,This bar has certainly seen better days; I mean| come on. No one wants to party because of spooky eye in the sky? We're ghosts already.%%
24,,,,Lucy Jones-8,Oh| Inspector! To what do I owe the pleasure? Shall I buy you a drink?%%
