Progress,Jimboy Calloway - 1,Dexter - 2,Samuel - 3,Chai-An - 4,Bastion - 5,Bloody Scarf - 6,Lucian Corneilius-7,Lucy Jones-8,Duvamil Timbers-9,Kallista Spector-10,Zanna Garrick-11,Count Valgo-12,Portrait-13,Destroyed Mechanical Part-14,,,,,,,,,,,,Getting rid of those nasty carriage returns
1,My name is Jimboy Calloway.,You can move around using W|A|S|D. As an Inspector| remember to refer to your journal using &J& to aid you in your investigation. Should you become lost| refer to your map using ESC.%%,Greetings Inspector!,Yo| Inspector!,You want a drink?,*,Inspector| what brings you around here?,Nice weather we're having today| Inspector!,To find out that we'd be continuing our lives after death| is strangely disappointing.,There's a mysterious aura to this fire pit. What could it be for?,Inspector!? You've startled me... what brings you here?,Listen here| denizens of Blightingham! Count Valgo will guide you to victory.,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
2,N/A,When in combat| you will have three buttons to utilize| these are your &moves&.  You utilize &Incorporeal& to evade incoming attacks|  &Spirit Orb& to send out your spiritual familiar to destroy incoming attacks| and &Astral Projection& to launch an attack at your enemy. On that note| Mayor Samuel is awaiting your arrival at the town hall.%,N/A,N/A,N/A,*,N/A,N/A,N/A,There's a mysterious aura to this fire pit. What could it be for?,N/A,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
3,The wild|wild| west was an exciting time.,You should speak with Samuel.,Inspector! My friend! I am glad to see you; recently |the residents of Blightingham have been disappearing.%%,Did you know that some ghosts attempt to do what they can to retain a sense of what their lives were like?,Chai-An may be a regular| but she surely does sound like a lunatic at times.,*,I have no interest in helping you| Inspector.,You're persuing a case? Rumor has it| there's a portrait at the BAR of an Inspector... maybe you should look into it?,I don't necessarily view existence like this as a bad thing| but it makes you wonder what we spent our entire lives with the fear of deathf or. This isn't so bad.,There's a mysterious aura to this fire pit. What could it be for?,I work on all kinds of technology and machinery. Well| I did| in life. I use what I can with the scraps that appear here from time to time.,Even if we are dead| we shall come together and fight| as we have in life! There is no reason to be distant!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
4,N/A,N/A,As the mayor| I cannot stand idly by while my citizens are going missing -- without a trace.%%,N/A,N/A,*,N/A,N/A,N/A,There's a mysterious aura to this fire pit. What could it be for?,N/A,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
5,N/A,N/A,As one of the greatest Inspectors to ever live| I trust that you will do what you do best and get to the bottom of this mystery. I recommend you start with the local citizens to see if you can find out what's happening.%,N/A,N/A,*,N/A,N/A,N/A,There's a mysterious aura to this fire pit. What could it be for?,N/A,In order to preserve our lives that have been tainted by death| I humbly ask that you vote for me to lead you to a bright future| even in death. ,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
6,Howdy| Inspector! Yer talkin' to the greatest gun in the West! Well| the former title-holder! What can I do for ya?%%,How is your investigation coming along?,Inspector| I am trusting you to help stop this crisis.,With no sense of time| I can't really figure out what's a good time to drink.,I followed Chai-An's work in life| actually. She was always commited to bringing bad people down.,*,You're rather tenacious| but it's not surprising that the greatest Inspector to have ever lived would be so persistent.,In my life| I thought I lived the happiest of them all with my husband. It seemed like there was no where to go but up| until I collapsed and awoke here. It's a tad-bit depressing.,My death was one of my own error| it was a work-related incident where I ended up losing more blood than I could afford to.,There's a mysterious aura to this fire pit. What could it be for?,I'm just working on my wares here. I was Duvamil's brightest pupil in death| after all.,To those who have died unfair deaths| unjust deaths| I ask that you stand by my side as we move forward!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
7,I haven't seen any suspicious looking fellas| but if I were you| I'd go check in on the beautiful Chai-An! She'd have a knack for this kinda business. Check the bar.%,N/A,N/A,N/A,N/A,*,N/A,N/A,N/A,There's a mysterious aura to this fire pit. What could it be for?,N/A,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
8,Chai-An should be located in the bar| she's a day-drinker. Night-drinker? Do ghost need to drink?,Find a ghost and talk to them! They may help you.,Jimboy Calloway was a cowboy in life; it is no surprise that he'd know where to direct you to. Follow up on his sources.,Yo| Inspector! Can you lend me an interview with your buddy? You two met this morning!%%,I hope this abduction nonsense doesn't affect my customers.,*,It's all moving according to our plan.,Incase you don't know| my name is Lucy. ,Ended up dyin' alone| it was fairly disappointing. I didn't feel like I got a chance to follow my dream.,There's a mysterious aura to this fire pit. What could it be for?,The name's Zanna Garrick. I had hoped to go down in history as one of the greatest inventors| until I ended up in debt.,My name is Count Valgo| and I will actively fight for you - the people!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
9,Did you talk to Chai-An? She's pretty| and smart!,Be sure to follow up on the information you receive using &J&.,Did you follow up on your sources?,Did you talk with your mayor friend yet?%%,What kind of drink would you like?,*,Inspector.,What's there to drink...?,Having the craft to create fine machinery and tools was neat| but the lack of a family really bothered me. I was hoping maybe some day.,There's a mysterious aura to this fire pit. What could it be for?,In life| I requested an insane amount of money and when I couldn't afford to pay it back| I was forced to work with their group to perform crimes.,Do not fret| denizens of Blightingham. We shall change our fates| and return to our golden lives.,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
10,Glad to be of assistance| Inspector!,Keep your eyes peeled| Inspector.,I cannot thank you enough.,Jimboy sent you to me? About a potential scoop? Disappearing ghosts? I was interested in it| but didn't go any further with it.%%,Did you know white wine can be made from red grapes?,*,In life| I was a criminal. Didn't care much for following the law| I did what I wanted to do.,What's a Ghost got to do to get a drink around here?,It goes without saying| even in death| we try to pass on what we know. I adopted a student here| Zanna. Ambitious little one.,There's a mysterious aura to this fire pit. What could it be for?,In hind-sight| it was wrong what I did.,Together| we will stand tall and we shall change our fates.,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
